"""region"",""typ av kostnad"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"""
"0114 Upplands Väsby,""mediekostnader"",1174,1200,1252,1320,1373,1367,1293,1252,1418,1287,1268,1136,1134"
"0114 Upplands Väsby,""personalkostnader för biblioteksverksamheten"",4927,5263,5773,5881,5976,6278,6104,6087,6146,5637,4685,4710,5482"
"0114 Upplands Väsby,""lokalkostnader (inkl. hyra, städning)"",855,867,890,684,723,715,715,715,1412,1126,1266,1125,2802"
"0114 Upplands Väsby,""övriga kostnader"",1559,1534,1174,1112,1080,1143,1126,2023,1912,1576,2516,1708,2454"
"0114 Upplands Väsby,""investeringsutgifter"",..,400,0,..,204,2058,531,100,..,597,..,540,360"
"0115 Vallentuna,""mediekostnader"",800,813,805,798,866,820,944,884,898,865,968,1090,1132"
"0115 Vallentuna,""personalkostnader för biblioteksverksamheten"",2970,3268,3513,3560,3628,3835,4067,4158,4290,4369,4596,4989,5380"
"0115 Vallentuna,""lokalkostnader (inkl. hyra, städning)"",1123,1142,1165,1167,1169,1196,1472,1835,1850,1905,1879,2005,3866"
"0115 Vallentuna,""övriga kostnader"",1072,859,1275,1317,1152,992,948,1011,946,770,1063,964,2684"
"0115 Vallentuna,""investeringsutgifter"",..,..,99,141,151,0,0,0,..,0,..,..,.."
"0117 Österåker,""mediekostnader"",794,834,919,1193,1099,1003,1234,912,1000,989,1047,1050,1062"
"0117 Österåker,""personalkostnader för biblioteksverksamheten"",3730,3661,3836,4016,4112,4143,4226,4290,4489,4482,4772,4489,4507"
"0117 Österåker,""lokalkostnader (inkl. hyra, städning)"",2101,2011,2065,2142,2166,2372,2263,1976,2164,2247,2405,3301,3269"
"0117 Österåker,""övriga kostnader"",976,1353,509,347,1151,921,962,1317,1502,1599,2356,654,420"
"0117 Österåker,""investeringsutgifter"",295,236,137,748,0,136,60,768,390,147,..,..,10"
"0120 Värmdö,""mediekostnader"",797,1475,1297,960,1204,1115,1133,1278,1282,1383,1201,1283,1565"
"0120 Värmdö,""personalkostnader för biblioteksverksamheten"",4605,5024,6151,6644,5973,6675,7348,6607,7135,7545,7452,7579,8504"
"0120 Värmdö,""lokalkostnader (inkl. hyra, städning)"",1461,1464,1005,1009,1419,929,916,1178,1218,1153,1258,1003,1493"
"0120 Värmdö,""övriga kostnader"",444,769,736,899,1874,2125,1916,1720,1623,1717,1838,1770,2035"
"0120 Värmdö,""investeringsutgifter"",292,124,559,1028,390,274,210,255,101,132,..,..,.."
"0123 Järfälla,""mediekostnader"",2080,2030,2183,2124,2255,2098,2874,2449,2056,2201,2250,2270,2370"
"0123 Järfälla,""personalkostnader för biblioteksverksamheten"",8758,9272,9677,9981,10383,10724,11464,12003,11228,11550,12000,12100,12450"
"0123 Järfälla,""lokalkostnader (inkl. hyra, städning)"",6108,6424,6485,6802,6736,6418,6436,6679,6700,7220,7145,7200,7390"
"0123 Järfälla,""övriga kostnader"",1949,2330,2961,2589,2928,2901,3207,2643,3564,2623,2305,2494,2209"
"0123 Järfälla,""investeringsutgifter"",..,1200,209,155,35,252,99,200,..,300,..,..,.."
"0125 Ekerö,""mediekostnader"",789,911,861,870,995,912,885,1025,1306,1176,836,800,1199"
"0125 Ekerö,""personalkostnader för biblioteksverksamheten"",3153,3273,3723,4613,4731,5442,5440,3361,3251,4079,4458,3268,3988"
"0125 Ekerö,""lokalkostnader (inkl. hyra, städning)"",2602,2641,2711,2806,2839,2968,2983,3146,3201,3354,3298,3298,3374"
"0125 Ekerö,""övriga kostnader"",565,707,471,594,595,703,732,614,682,484,867,867,98"
"0125 Ekerö,""investeringsutgifter"",25,306,24,100,0,40,62,31,..,30,36,..,20"
"0126 Huddinge,""mediekostnader"",1966,2146,2164,2152,2479,2177,2382,2868,2861,3094,3565,3183,3596"
"0126 Huddinge,""personalkostnader för biblioteksverksamheten"",9215,10219,11687,11854,10754,12442,13383,14504,14227,15412,15987,16612,17892"
"0126 Huddinge,""lokalkostnader (inkl. hyra, städning)"",4947,3968,5450,5003,5270,5124,4964,5031,6098,7441,5559,7450,7238"
"0126 Huddinge,""övriga kostnader"",1528,1986,996,1623,308,457,2359,917,2704,2941,3562,4574,4486"
"0126 Huddinge,""investeringsutgifter"",75,..,0,..,0,..,2300,1053,2866,50,1590,2591,.."
"0127 Botkyrka,""mediekostnader"",3038,3291,3871,3949,3465,3423,3997,4112,3967,4143,3422,3093,3098"
"0127 Botkyrka,""personalkostnader för biblioteksverksamheten"",12873,13293,14178,15631,16050,16210,15691,16233,16162,15419,15255,15475,16591"
"0127 Botkyrka,""lokalkostnader (inkl. hyra, städning)"",5382,5604,4935,6277,6333,6343,6509,6603,7318,8374,8874,8614,8788"
"0127 Botkyrka,""övriga kostnader"",4453,4153,4381,3739,4215,5045,4885,6401,6767,5650,4838,5270,5023"
"0127 Botkyrka,""investeringsutgifter"",100,1421,1058,44,279,340,129,1750,991,857,513,380,281"
"0128 Salem,""mediekostnader"",791,695,786,804,784,753,731,703,785,838,711,700,845"
"0128 Salem,""personalkostnader för biblioteksverksamheten"",1592,1666,1757,1839,1838,1930,2000,2102,2227,2228,2320,2484,2425"
"0128 Salem,""lokalkostnader (inkl. hyra, städning)"",236,..,242,247,252,260,265,271,..,0,..,..,.."
"0128 Salem,""övriga kostnader"",230,146,201,233,243,203,221,212,81,260,310,377,313"
"0128 Salem,""investeringsutgifter"",242,117,398,81,42,111,64,0,100,729,50,400,.."
"0136 Haninge,""mediekostnader"",2366,1756,2326,2452,2371,2449,3261,2767,2426,3147,3150,2317,2977"
"0136 Haninge,""personalkostnader för biblioteksverksamheten"",8658,9080,9588,11286,10771,11776,12068,12698,13111,14169,14136,14648,14806"
"0136 Haninge,""lokalkostnader (inkl. hyra, städning)"",4216,4214,4135,8982,9030,11081,8235,8218,8167,9033,7888,7732,8748"
"0136 Haninge,""övriga kostnader"",2001,634,951,2546,2980,0,3734,340,483,4649,6649,3070,1636"
"0136 Haninge,""investeringsutgifter"",965,483,7000,..,1300,110,662,1000,119,1212,..,..,3700"
"0138 Tyresö,""mediekostnader"",1535,1537,1652,1671,1693,1839,1683,1917,1955,1960,1960,1956,1956"
"0138 Tyresö,""personalkostnader för biblioteksverksamheten"",5628,5755,6117,6961,7323,7066,7360,8040,8662,8254,8210,7984,7634"
"0138 Tyresö,""lokalkostnader (inkl. hyra, städning)"",3925,4080,4244,4483,3472,3500,3304,3451,3992,4107,4370,4032,4492"
"0138 Tyresö,""övriga kostnader"",1045,1132,988,1355,1979,1582,2779,2661,1589,3811,..,3022,2979"
"0138 Tyresö,""investeringsutgifter"",..,107,220,..,222,530,800,100,1800,735,..,455,388"
"0139 Upplands-Bro,""mediekostnader"",853,910,899,900,1099,890,620,748,657,617,745,726,706"
"0139 Upplands-Bro,""personalkostnader för biblioteksverksamheten"",3174,3153,3351,3560,3193,3471,3624,3656,3848,3890,3878,3910,4108"
"0139 Upplands-Bro,""lokalkostnader (inkl. hyra, städning)"",1157,1150,1167,1201,0,0,1,1,1347,1754,1700,1747,1822"
"0139 Upplands-Bro,""övriga kostnader"",396,363,376,301,0,0,515,230,..,393,374,228,412"
"0139 Upplands-Bro,""investeringsutgifter"",..,503,32,20,170,0,0,0,69,160,82,60,59"
"0140 Nykvarn,""mediekostnader"",252,300,350,266,311,283,366,350,450,264,371,370,370"
"0140 Nykvarn,""personalkostnader för biblioteksverksamheten"",830,949,981,998,1432,1472,1789,1920,2033,2003,2075,1964,1771"
"0140 Nykvarn,""lokalkostnader (inkl. hyra, städning)"",144,144,144,144,182,190,112,1835,1534,1550,1600,2339,1348"
"0140 Nykvarn,""övriga kostnader"",..,155,104,142,63,96,185,421,277,319,63,245,111"
"0140 Nykvarn,""investeringsutgifter"",..,..,41,..,0,0,0,296,70,40,..,51,145"
"0160 Täby,""mediekostnader"",2146,2187,2096,2021,2266,2300,2196,1565,2563,1841,2045,2222,3727"
"0160 Täby,""personalkostnader för biblioteksverksamheten"",8994,9317,8915,9782,10387,12200,8505,6651,10399,9872,9925,9987,11465"
"0160 Täby,""lokalkostnader (inkl. hyra, städning)"",4100,4069,4366,4343,4832,4020,4019,4019,3182,3673,3337,3411,3459"
"0160 Täby,""övriga kostnader"",2960,3133,450,2232,1924,586,3822,5929,2424,2496,1869,2078,873"
"0160 Täby,""investeringsutgifter"",..,..,266,200,200,200,1800,1000,409,494,514,560,552"
"0162 Danderyd,""mediekostnader"",1126,1082,1255,1105,1152,973,1058,1040,1192,1088,1056,974,1114"
"0162 Danderyd,""personalkostnader för biblioteksverksamheten"",4484,4510,5040,5330,5312,5515,5667,5525,7132,5397,6790,5611,5818"
"0162 Danderyd,""lokalkostnader (inkl. hyra, städning)"",2417,2942,2934,3425,3408,3418,2875,2809,2529,3015,3007,3324,3355"
"0162 Danderyd,""övriga kostnader"",1332,1049,1105,1144,784,1441,2041,1584,2541,2468,3428,2297,2064"
"0162 Danderyd,""investeringsutgifter"",250,216,28,364,388,267,536,583,731,706,378,566,764"
"0163 Sollentuna,""mediekostnader"",1354,2032,2320,1980,2449,2285,2023,2390,2398,2341,2303,2218,2283"
"0163 Sollentuna,""personalkostnader för biblioteksverksamheten"",7841,8892,9280,9255,9909,10456,10679,11472,11552,11407,11542,11932,12066"
"0163 Sollentuna,""lokalkostnader (inkl. hyra, städning)"",4095,3817,4495,4511,4322,3970,3995,4162,4977,5458,5304,5540,5906"
"0163 Sollentuna,""övriga kostnader"",1964,4369,3251,2611,3062,3034,3565,2925,2857,4345,4651,5670,4153"
"0163 Sollentuna,""investeringsutgifter"",1500,152,144,0,285,856,210,450,2150,250,400,800,625"
"0180 Stockholm,""mediekostnader"",29093,28503,28764,28777,24517,24720,24724,21172,..,21578,28297,28121,28154"
"0180 Stockholm,""personalkostnader för biblioteksverksamheten"",120999,141375,157668,161926,162256,162512,172435,159867,..,165922,173283,178532,184529"
"0180 Stockholm,""lokalkostnader (inkl. hyra, städning)"",55457,52668,51525,52276,53219,59019,54492,51794,..,62234,57721,56121,63865"
"0180 Stockholm,""övriga kostnader"",14219,35236,27417,8751,32744,34522,48166,41157,..,45948,36586,58166,50537"
"0180 Stockholm,""investeringsutgifter"",..,3700,12266,8200,0,0,0,0,3600,6842,1900,7330,3558"
"0181 Södertälje,""mediekostnader"",2597,2722,4010,2978,3073,2883,2556,2251,2691,2500,2520,2507,2117"
"0181 Södertälje,""personalkostnader för biblioteksverksamheten"",12468,11635,13630,13779,13949,13880,15502,16774,13395,18749,13792,13184,13485"
"0181 Södertälje,""lokalkostnader (inkl. hyra, städning)"",6947,6522,7600,7715,8819,8329,8723,9116,10455,13180,7833,7235,8467"
"0181 Södertälje,""övriga kostnader"",3596,4753,3685,6186,3073,4279,7823,6936,6808,6804,6,2527,3241"
"0181 Södertälje,""investeringsutgifter"",..,..,0,..,0,..,2498,..,536,0,4500,1759,2189"
"0182 Nacka,""mediekostnader"",2846,3104,5819,2886,3503,2317,2808,2190,1873,3963,4140,3264,3483"
"0182 Nacka,""personalkostnader för biblioteksverksamheten"",13069,14025,17662,13388,16895,16246,16009,14399,14555,17748,18011,18463,18020"
"0182 Nacka,""lokalkostnader (inkl. hyra, städning)"",5037,5916,7749,7486,8658,8017,7109,7337,7843,11343,12139,12748,12824"
"0182 Nacka,""övriga kostnader"",1954,2956,2457,3300,4273,5742,7747,4603,5008,5451,7490,7361,5765"
"0182 Nacka,""investeringsutgifter"",780,3175,2859,1320,368,1541,3300,2500,2100,3485,2149,1907,1806"
"0183 Sundbyberg,""mediekostnader"",957,837,892,1274,1299,1231,1050,1050,1211,1385,2126,2071,2282"
"0183 Sundbyberg,""personalkostnader för biblioteksverksamheten"",4949,5063,4702,6705,6363,7928,5266,4781,5810,5562,7430,8545,9563"
"0183 Sundbyberg,""lokalkostnader (inkl. hyra, städning)"",2514,2577,2669,3013,2935,4522,2990,2969,2962,2858,4622,4367,5516"
"0183 Sundbyberg,""övriga kostnader"",1060,1518,537,1049,1701,0,1261,2113,1269,662,2616,1330,2774"
"0183 Sundbyberg,""investeringsutgifter"",240,124,200,184,0,0,300,200,..,1279,..,1965,1738"
"0184 Solna,""mediekostnader"",2137,2286,2293,2301,2093,2181,2330,2259,2327,2241,2391,2233,2568"
"0184 Solna,""personalkostnader för biblioteksverksamheten"",10165,9875,10986,11432,11206,11404,11661,12058,11874,12424,11457,11694,11387"
"0184 Solna,""lokalkostnader (inkl. hyra, städning)"",5621,5792,5898,5893,5950,6054,6049,6048,6117,6993,6311,6218,6372"
"0184 Solna,""övriga kostnader"",3493,4220,3603,3331,3346,3761,3660,3725,2502,4585,6620,2192,2322"
"0184 Solna,""investeringsutgifter"",..,659,17,148,578,0,388,325,824,478,80,..,901"
"0186 Lidingö,""mediekostnader"",1629,1629,1626,1676,1500,1621,1659,1536,1732,1863,1600,1453,1735"
"0186 Lidingö,""personalkostnader för biblioteksverksamheten"",6294,6353,6353,6635,6678,6778,6858,7156,7376,7636,7200,7937,8001"
"0186 Lidingö,""lokalkostnader (inkl. hyra, städning)"",2273,2828,2515,2446,2685,2752,2840,2841,3314,3436,3400,3035,3327"
"0186 Lidingö,""övriga kostnader"",2283,2473,2445,1775,2305,2318,2990,1971,1629,1818,2700,3005,2441"
"0186 Lidingö,""investeringsutgifter"",380,60,367,824,0,0,0,0,..,2000,..,..,.."
"0187 Vaxholm,""mediekostnader"",248,284,331,487,317,281,310,309,337,365,364,334,367"
"0187 Vaxholm,""personalkostnader för biblioteksverksamheten"",1077,1061,1343,1284,1291,1434,1456,1568,1668,1764,1779,1876,1995"
"0187 Vaxholm,""lokalkostnader (inkl. hyra, städning)"",511,523,595,569,558,577,581,576,544,613,629,659,618"
"0187 Vaxholm,""övriga kostnader"",220,237,222,76,207,171,237,122,249,240,254,223,159"
"0187 Vaxholm,""investeringsutgifter"",..,177,0,..,0,0,0,0,..,0,..,21,45"
"0188 Norrtälje,""mediekostnader"",1685,1666,1955,1976,2092,1832,1981,2037,..,2041,2186,1946,2358"
"0188 Norrtälje,""personalkostnader för biblioteksverksamheten"",7198,7746,7971,9026,9459,9420,9931,10080,..,10638,11072,11276,10992"
"0188 Norrtälje,""lokalkostnader (inkl. hyra, städning)"",4705,4848,4452,4744,5029,5108,5035,4232,..,4306,4744,5008,5542"
"0188 Norrtälje,""övriga kostnader"",855,2821,2250,2976,474,1264,629,1822,..,3691,543,1824,2150"
"0188 Norrtälje,""investeringsutgifter"",295,422,350,1037,0,250,300,250,..,485,1485,1289,1037"
"0191 Sigtuna,""mediekostnader"",723,698,946,1108,1134,1504,1389,1321,1477,1724,1257,1313,1344"
"0191 Sigtuna,""personalkostnader för biblioteksverksamheten"",3550,3831,4024,4352,4333,4510,4197,3572,3510,5327,5438,5590,6355"
"0191 Sigtuna,""lokalkostnader (inkl. hyra, städning)"",2635,2689,2618,2777,2914,2951,3036,2638,2975,3951,3315,3802,3337"
"0191 Sigtuna,""övriga kostnader"",1155,966,1285,1336,1282,1083,1082,2898,2374,758,831,1052,1210"
"0191 Sigtuna,""investeringsutgifter"",50,..,70,30,86,69,201,306,1445,0,65,69,360"
"0192 Nynäshamn,""mediekostnader"",1285,1423,1007,1092,650,1004,1459,1434,144,1457,1363,1434,1507"
"0192 Nynäshamn,""personalkostnader för biblioteksverksamheten"",3627,3791,4034,4351,3670,3858,4018,4495,465,4919,5181,5563,5656"
"0192 Nynäshamn,""lokalkostnader (inkl. hyra, städning)"",1900,1759,1917,1468,1513,2040,2081,2114,246,2595,2586,2727,2786"
"0192 Nynäshamn,""övriga kostnader"",678,565,547,248,1450,1018,1151,1650,126,961,886,695,927"
"0192 Nynäshamn,""investeringsutgifter"",593,600,0,0,400,1400,100,200,90,40,210,413,370"
"0305 Håbo,""mediekostnader"",672,705,705,770,784,770,780,715,729,1118,1256,1063,1184"
"0305 Håbo,""personalkostnader för biblioteksverksamheten"",1715,1863,2002,2131,1910,1822,2345,2588,2708,2997,3085,3207,3496"
"0305 Håbo,""lokalkostnader (inkl. hyra, städning)"",..,..,0,0,0,0,0,0,..,729,729,759,922"
"0305 Håbo,""övriga kostnader"",313,860,195,273,667,738,354,286,465,236,706,663,738"
"0305 Håbo,""investeringsutgifter"",8,1231,0,40,35,0,5,5,..,442,428,192,910"
"0319 Älvkarleby,""mediekostnader"",439,473,652,475,366,515,497,472,493,510,498,515,543"
"0319 Älvkarleby,""personalkostnader för biblioteksverksamheten"",1573,1730,1381,1826,1910,205,2241,2414,2338,2194,2420,2465,2447"
"0319 Älvkarleby,""lokalkostnader (inkl. hyra, städning)"",947,932,963,1067,945,844,810,953,919,939,995,1012,1031"
"0319 Älvkarleby,""övriga kostnader"",346,358,205,60,347,482,345,415,437,403,265,268,269"
"0319 Älvkarleby,""investeringsutgifter"",..,..,71,119,0,0,0,200,..,0,63,60,51"
"0330 Knivsta,""mediekostnader"",..,..,..,452,474,485,500,568,681,650,604,602,669"
"0330 Knivsta,""personalkostnader för biblioteksverksamheten"",..,..,..,2197,2302,2683,2428,2605,2618,3111,2962,3080,3269"
"0330 Knivsta,""lokalkostnader (inkl. hyra, städning)"",..,..,..,830,887,820,711,939,121,160,1013,1032,582"
"0330 Knivsta,""övriga kostnader"",..,..,..,912,997,939,931,1084,926,806,871,849,1017"
"0330 Knivsta,""investeringsutgifter"",..,..,..,136,126,54,119,75,219,200,40,58,1077"
"0331 Heby,""mediekostnader"",627,662,646,970,696,803,747,809,782,963,818,619,647"
"0331 Heby,""personalkostnader för biblioteksverksamheten"",3051,3241,3881,3302,2570,2477,1947,2680,2500,2926,2957,3334,3451"
"0331 Heby,""lokalkostnader (inkl. hyra, städning)"",842,842,847,746,1018,1105,1219,1374,1314,1343,1431,1104,1770"
"0331 Heby,""övriga kostnader"",181,447,502,314,195,306,0,245,420,510,540,358,150"
"0331 Heby,""investeringsutgifter"",198,437,131,0,173,0,0,53,..,50,55,59,47"
"0360 Tierp,""mediekostnader"",900,1058,916,911,938,1099,1045,1349,1308,1201,1017,1222,1261"
"0360 Tierp,""personalkostnader för biblioteksverksamheten"",3346,3732,3573,3333,4343,4268,5017,3329,4997,4311,4987,4533,4814"
"0360 Tierp,""lokalkostnader (inkl. hyra, städning)"",1832,1891,2132,2231,2059,2869,1835,1913,1871,1882,2026,2030,2053"
"0360 Tierp,""övriga kostnader"",1257,1169,643,516,745,42,25,1681,49,994,861,2225,1347"
"0360 Tierp,""investeringsutgifter"",134,113,45,103,445,86,1076,0,..,161,..,1814,86"
"0380 Uppsala,""mediekostnader"",8502,8538,8973,6562,7543,8830,9032,8295,9762,9375,9046,9568,9523"
"0380 Uppsala,""personalkostnader för biblioteksverksamheten"",29688,31121,31764,31041,32567,34356,35620,36055,37468,35948,35467,37924,39052"
"0380 Uppsala,""lokalkostnader (inkl. hyra, städning)"",15311,15366,15821,14680,15036,14307,15299,15550,16430,17574,17505,17307,16675"
"0380 Uppsala,""övriga kostnader"",13338,13246,12788,13494,8421,7737,10104,12343,14886,15812,14819,14513,16089"
"0380 Uppsala,""investeringsutgifter"",1021,3077,1163,1000,1465,550,1366,3959,1727,1602,3380,788,1875"
"0381 Enköping,""mediekostnader"",1589,1321,1821,1683,1588,1739,1689,1668,1720,1880,1964,1903,1824"
"0381 Enköping,""personalkostnader för biblioteksverksamheten"",6627,6675,7296,6134,6272,6442,6572,6868,7345,8602,8012,6719,7489"
"0381 Enköping,""lokalkostnader (inkl. hyra, städning)"",2184,1850,2567,2631,2654,2644,2745,2817,2890,2980,2865,2693,3044"
"0381 Enköping,""övriga kostnader"",2003,2554,2562,2565,2593,2780,2883,2630,2928,1634,1047,1439,2736"
"0381 Enköping,""investeringsutgifter"",..,532,594,605,605,807,392,3285,201,883,1060,990,.."
"0382 Östhammar,""mediekostnader"",807,701,979,982,1028,928,1139,1019,1067,1076,995,1053,1053"
"0382 Östhammar,""personalkostnader för biblioteksverksamheten"",2507,2468,2570,2633,2718,2785,2857,2954,3131,3241,3275,3339,3397"
"0382 Östhammar,""lokalkostnader (inkl. hyra, städning)"",1153,1164,1247,1314,1402,1386,1390,1348,1437,1446,1415,1429,1429"
"0382 Östhammar,""övriga kostnader"",352,674,921,620,530,517,371,614,122,485,957,741,172"
"0382 Östhammar,""investeringsutgifter"",..,100,167,0,0,0,142,0,56,695,193,150,.."
"0428 Vingåker,""mediekostnader"",405,361,401,392,303,367,413,389,387,435,422,395,435"
"0428 Vingåker,""personalkostnader för biblioteksverksamheten"",1604,1697,1833,1989,2140,2172,2270,1632,1716,1652,1715,1925,1946"
"0428 Vingåker,""lokalkostnader (inkl. hyra, städning)"",582,641,619,473,611,779,559,547,699,628,630,650,663"
"0428 Vingåker,""övriga kostnader"",339,314,184,280,105,97,395,325,223,201,227,265,278"
"0428 Vingåker,""investeringsutgifter"",17,28,0,43,40,71,29,91,33,124,35,61,77"
"0461 Gnesta,""mediekostnader"",300,300,300,300,300,300,300,350,316,305,350,511,429"
"0461 Gnesta,""personalkostnader för biblioteksverksamheten"",1686,1778,1850,1813,1699,1863,1817,1797,2135,1982,1933,1872,2071"
"0461 Gnesta,""lokalkostnader (inkl. hyra, städning)"",765,735,851,1137,874,101,102,99,102,970,829,772,849"
